module,scope,algorithm,setting,metric,value,result_status
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 1,AICc,6624.27873009272,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 1,AICc,6473.76520572104,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 2,AICc,6624.61457102459,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 2,AICc,6521.11635168422,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 3,AICc,6625.30327520058,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 3,AICc,6563.55069815306,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 0.5,AICc,6624.24217467419,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 0.5,AICc,6449.95084034203,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 1,AICc,6624.27873009272,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 1,AICc,6473.76520572104,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 2,AICc,6624.61457102459,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 2,AICc,6521.11635168422,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 3,AICc,6625.30327520058,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 3,AICc,6563.55069815306,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 0.5,AICc,6637.02385926651,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 0.5,AICc,6469.86592647461,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 1,AICc,6636.71062399569,reproduced_adapted
